V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
2.5,40,0,1,--,3,False,True,False,--,0.509,-88.257,2.499,40.006,2.499,40.006,0.232,0.362,3.293,0.373,0.581,--,-116.945,116.945,-17.994,0.926,0.958,0,0,0,0,--,0.783,[0.998 1.    0.309 0.562 0.8   0.632 1.   ],[ 0.515 -0.576  0.016  0.125],[-90. -80.],--,1,0,0,0,0,0
2.5,45,0,0,--,3,False,True,False,--,0.512,-87.353,2.499,45.024,2.499,45.024,0.236,0.354,2.824,0.417,0.626,--,-125.946,125.946,-18.181,0.735,0.991,0,0,0,0,--,0.811,[0.998 1.    0.382 0.575 0.734 0.756 1.   ],[ 0.503 -0.46   0.017  0.123],[-90. -80.],--,1,0,0,0,0,0
2.5,50,0,0,--,3,False,True,False,--,0.514,-86.087,2.5,50.02,2.5,50.02,0.234,0.343,2.444,0.449,0.657,--,-123.94,123.94,-17.903,0.601,1.136,0,0,0,0,--,0.809,[1.    1.    0.49  0.494 0.75  0.728 1.   ],[ 0.506 -0.388  0.016  0.115],[-90. -80.],--,1,0,0,0,0,0
2.5,55,0,0,--,3,False,True,False,--,0.502,-86.671,2.5,55.023,2.5,55.023,0.241,0.342,2.044,0.493,0.701,--,-124.866,124.866,-18.031,0.415,1.27,0,0,0,0,--,0.831,[0.999 1.    0.705 0.47  0.743 0.741 1.   ],[ 0.499 -0.309  0.016  0.115],[-90. -80.],--,1,0,0,0,0,0
2.5,60,0,0,--,3,False,True,False,--,0.506,-86.346,2.501,60.036,2.501,60.036,0.267,0.363,1.589,0.578,0.786,--,-145.246,145.246,-18.439,0.152,1.127,0,0,0,0,--,0.887,[0.986 0.958 0.886 0.497 0.575 0.989 1.   ],[ 0.463 -0.199  0.02   0.13 ],[-90. -80.],--,1,0,0,0,0,0
2.5,65,0,0,--,3,False,True,False,--,0.514,-86.546,2.5,65.026,2.5,65.026,0.238,0.33,1.412,0.539,0.747,--,-114.443,114.443,-17.625,0.103,1.612,0,0,0,0,--,0.809,[0.999 1.    0.77  0.401 0.818 0.598 1.   ],[ 0.507 -0.299  0.012  0.084],[-90. -80.],--,1,0,0,0,0,0
2.5,70,0,0,--,3,False,True,False,--,0.501,-86.654,2.5,70.026,2.5,70.026,0.244,0.332,1.094,0.572,0.78,--,-124.839,124.839,-18.028,-0.163,1.572,0,0,0,0,--,0.716,[1.    1.    0.878 0.403 0.743 0.14  1.   ],[ 0.498 -0.271  0.011  0.076],[-90. -80.],--,1,0,0,0,0,0
2.5,75,0,0,--,3,False,True,False,--,0.507,-86.054,2.498,75.011,2.498,75.011,0.24,0.327,0.82,0.58,0.788,--,-123.884,123.884,-17.896,-0.359,1.633,0,0,0,0,--,0.702,[1.    1.    0.752 0.382 0.75  0.141 1.   ],[ 0.511 -0.264  0.01   0.068],[-90. -80.],--,1,0,0,0,0,0
2.5,80,0,0,--,3,False,True,False,--,0.514,-85.667,2.502,80.031,2.502,80.031,0.244,0.328,0.535,0.601,0.809,--,-123.274,123.274,-17.811,-0.563,1.684,0,0,0,0,--,0.727,[1.    1.    1.    0.364 0.755 0.142 1.   ],[ 0.513 -0.208  0.011  0.071],[-90. -80.],--,1,0,0,0,0,0
2.5,85,0,0,--,3,False,True,False,--,0.503,-85.959,2.502,85.034,2.502,85.034,0.247,0.33,0.263,0.615,0.823,--,-123.733,123.733,-17.875,-0.786,1.713,0,0,0,0,--,0.724,[1.    1.    1.    0.348 0.751 0.141 1.   ],[ 0.501 -0.153  0.012  0.074],[-90. -80.],--,1,0,0,0,0,0
2.5,90,0,0,--,3,True,True,False,--,0.504,-86.225,2.503,90.027,2.503,90.027,0.226,0.31,-0.002,0.567,0.775,--,-113.974,113.974,-17.557,-0.947,1.847,0,0,0,0,--,0.616,[1.    1.    0.903 0.314 0.821 0.156 0.75 ],[ 0.502 -0.103  0.012  0.074],[-90. -80.],--,0,1,0,0,0,0
3,15,0,0,--,0,False,False,False,--,0.518,-89.677,2.997,14.942,2.997,14.942,0.243,0.512,7.312,0.188,0.396,--,0,0,0,0,0,0,0,0,0,--,0.052,[0.981 1.    0.    0.    0.    0.    0.   ],[ 0.512 -0.924  0.014  0.173],[-90. -80.],--,0,0,0,0,1,0
3,20,0,0,--,3,False,True,False,--,0.504,-89.42,2.998,19.952,2.998,19.952,0.243,0.446,6.172,0.248,0.457,--,-140.001,140.001,-18.922,1.694,0.113,0,0,0,0,--,0.908,[0.988 1.    0.638 0.976 0.62  0.949 1.   ],[ 0.505 -0.868  0.016  0.17 ],[-90. -80.],--,1,0,0,0,0,0
3,25,0,0,--,3,False,True,False,--,0.512,-89.191,2.997,24.961,2.997,24.961,0.243,0.407,5.275,0.307,0.515,--,-128.86,128.86,-18.585,1.647,0.49,0,0,0,0,--,0.858,[0.99  1.    0.475 0.874 0.711 0.796 1.   ],[ 0.5   -0.798  0.018  0.168],[-90. -80.],--,1,0,0,0,0,0
3,30,0,0,--,3,False,True,False,--,0.517,-88.831,2.998,29.994,2.998,29.994,0.244,0.383,4.528,0.365,0.574,--,-128.295,128.295,-18.506,1.534,0.723,0,0,0,0,--,0.835,[0.991 1.    0.33  0.816 0.716 0.788 1.   ],[ 0.493 -0.712  0.02   0.166],[-90. -80.],--,1,0,0,0,0,0
3,35,0,0,--,3,False,True,False,--,0.524,-88.446,2.998,34.995,2.998,34.995,0.23,0.351,4.07,0.395,0.604,--,-117.22,117.22,-18.035,1.464,1.072,0,0,0,0,--,0.784,[0.998 1.    0.23  0.647 0.799 0.636 1.   ],[ 0.524 -0.708  0.016  0.135],[-90. -80.],--,1,0,0,0,0,0
3,40,0,0,--,3,False,True,False,--,0.517,-88.035,2.998,39.997,2.998,39.997,0.234,0.342,3.486,0.451,0.659,--,-116.619,116.619,-17.946,1.313,1.278,0,0,0,0,--,0.779,[0.998 1.    0.273 0.574 0.803 0.628 1.   ],[ 0.512 -0.6    0.016  0.131],[-90. -80.],--,1,0,0,0,0,0
3,45,0,0,--,3,False,True,False,--,0.5,-87.679,2.998,44.999,2.998,44.999,0.24,0.339,2.953,0.51,0.718,--,-126.464,126.464,-18.253,1.081,1.343,0,0,0,0,--,0.812,[0.998 1.    0.361 0.599 0.73  0.763 1.   ],[ 0.493 -0.457  0.018  0.131],[-90. -80.],--,1,0,0,0,0,0
3,50,0,0,--,3,False,True,False,--,0.508,-87.37,2.998,50.002,2.998,50.002,0.232,0.322,2.604,0.532,0.74,--,-115.646,115.646,-17.803,0.957,1.646,0,0,0,0,--,0.774,[1.    1.    0.337 0.478 0.809 0.614 1.   ],[ 0.513 -0.442  0.015  0.114],[-90. -80.],--,1,0,0,0,0,0
3,55,0,0,--,3,False,True,False,--,0.518,-87.489,2.999,55.009,2.999,55.009,0.221,0.306,2.29,0.543,0.751,--,-105.739,105.739,-17.307,0.827,1.924,0,0,0,0,--,0.749,[1.    1.    0.32  0.431 0.872 0.497 1.   ],[ 0.537 -0.446  0.013  0.098],[-90. -80.],--,1,0,0,0,0,0
3,60,0,0,--,3,False,True,False,--,0.519,-86.929,2.998,60.007,2.998,60.007,0.241,0.321,1.798,0.626,0.834,--,-115.003,115.003,-17.708,0.538,1.944,0,0,0,0,--,0.78,[1.    1.    0.45  0.435 0.814 0.605 1.   ],[ 0.503 -0.297  0.015  0.107],[-90. -80.],--,1,0,0,0,0,0
3,65,0,0,--,3,False,True,False,--,0.52,-86.19,2.999,65.012,2.999,65.012,0.234,0.311,1.5,0.637,0.845,--,-113.921,113.921,-17.549,0.322,2.062,0,0,0,0,--,0.778,[0.999 1.    0.476 0.414 0.821 0.59  1.   ],[ 0.513 -0.314  0.012  0.084],[-90. -80.],--,1,0,0,0,0,0
3,70,0,0,--,3,False,True,False,--,0.503,-85.657,2.999,70.015,2.999,70.015,0.244,0.317,1.146,0.686,0.895,--,-123.256,123.256,-17.808,0.029,2.039,0,0,0,0,--,0.819,[1.    1.    0.674 0.417 0.755 0.719 1.   ],[ 0.499 -0.273  0.011  0.078],[-90. -80.],--,1,0,0,0,0,0
3,75,0,0,--,3,False,True,False,--,0.502,-86.749,2.999,75.02,2.999,75.02,0.246,0.318,0.841,0.714,0.922,--,-124.985,124.985,-18.048,-0.244,2.119,0,0,0,0,--,0.704,[1.    1.    0.765 0.401 0.742 0.139 1.   ],[ 0.497 -0.252  0.01   0.07 ],[-90. -80.],--,1,0,0,0,0,0
3,80,0,0,--,3,False,True,False,--,0.512,-86.06,3,80.02,3,80.02,0.244,0.314,0.56,0.721,0.929,--,-123.897,123.897,-17.897,-0.485,2.175,0,0,0,0,--,0.711,[1.    1.    0.839 0.382 0.75  0.141 1.   ],[ 0.514 -0.213  0.011  0.071],[-90. -80.],--,1,0,0,0,0,0
3,85,0,0,--,3,True,True,False,--,0.518,-85.753,3.001,85.019,3.001,85.019,0.239,0.309,0.282,0.715,0.923,--,-113.286,113.286,-17.455,-0.676,2.332,0,0,0,0,--,0.608,[1.    1.    0.789 0.342 0.825 0.157 0.75 ],[ 0.519 -0.177  0.011  0.07 ],[-90. -80.],--,0,1,0,0,0,0
3,90,0,0,--,3,True,True,False,--,0.503,-85.142,3.002,90.016,3.002,90.016,0.231,0.3,-0.001,0.692,0.901,--,-112.395,112.395,-17.323,-0.925,2.342,0,0,0,0,--,0.615,[0.999 1.    0.87  0.325 0.831 0.159 0.75 ],[ 0.501 -0.083  0.012  0.074],[-90. -80.],--,0,1,0,0,0,0
