V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_CM_trg,Theta_x_CM_trg,Tau_DH_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
2.5,55.0,0.0,0,--,3,False,True,False,--,0.503,-85.254,2.499,55.014,2.499,55.014,0.226,0.292,2.394,0.331,0.328,2.137,0.462,0.671,--,-112.549,112.549,-17.347,0.507,1.388,0.0,0.0,0.0,0.0,--,0.768,[0.999 1.    0.38  0.441 0.83  0.572 1.   ],[ 0.51  -0.022  0.017  0.033],[-90. -80.],--,1,0,0,0,0,0
2.5,60.0,0.0,0,--,3,False,True,False,--,0.513,-84.637,2.499,60.019,2.499,60.019,0.234,0.297,1.944,0.322,0.33,1.748,0.506,0.714,--,-121.631,121.631,-17.584,0.274,1.382,0.0,0.0,0.0,0.0,--,0.8,[0.999 1.    0.501 0.442 0.767 0.697 1.   ],[0.5   0.059 0.018 0.039],[-90. -80.],--,1,0,0,0,0,0
2.5,65.0,0.0,0,--,3,False,True,False,--,0.51,-84.446,2.498,65.004,2.498,65.004,0.239,0.299,1.561,0.308,0.331,1.411,0.54,0.748,--,-121.514,121.514,-17.555,0.083,1.477,0.0,0.0,0.0,0.0,--,0.806,[1.    1.    0.579 0.419 0.768 0.695 1.   ],[0.515 0.102 0.016 0.035],[-90. -80.],--,1,0,0,0,0,0
2.5,70.0,0.0,0,--,3,False,True,False,--,0.521,-84.301,2.495,69.994,2.495,69.994,0.237,0.295,1.233,0.295,0.326,1.117,0.557,0.765,--,-121.252,121.252,-17.518,-0.116,1.559,0.0,0.0,0.0,0.0,--,0.694,[1.    1.    0.64  0.398 0.77  0.145 1.   ],[0.528 0.126 0.015 0.031],[-90. -80.],--,1,0,0,0,0,0
2.5,75.0,0.0,0,--,3,False,True,False,--,0.504,-84.298,2.496,75.014,2.496,75.014,0.239,0.296,0.906,0.283,0.325,0.823,0.577,0.785,--,-121.244,121.244,-17.519,-0.324,1.625,0.0,0.0,0.0,0.0,--,0.701,[1.    1.    0.725 0.378 0.77  0.145 1.   ],[0.531 0.127 0.014 0.031],[-90. -80.],--,1,0,0,0,0,0
2.5,80.0,0.0,0,--,3,False,True,False,--,0.518,-84.402,2.495,80.026,2.495,80.026,0.243,0.298,0.59,0.287,0.327,0.537,0.596,0.804,--,-120.379,120.379,-17.511,-0.538,1.671,0.0,0.0,0.0,0.0,--,0.709,[1.    1.    0.807 0.357 0.776 0.146 1.   ],[0.521 0.104 0.016 0.035],[-90. -80.],--,1,0,0,0,0,0
2.5,85.0,0.0,0,--,3,False,True,False,--,0.506,-84.605,2.488,85.008,2.488,85.008,0.244,0.299,0.293,0.282,0.328,0.267,0.604,0.812,--,-121.874,121.874,-17.597,-0.761,1.688,0.0,0.0,0.0,0.0,--,0.718,[1.    1.    0.926 0.344 0.765 0.144 1.   ],[0.525 0.088 0.016 0.036],[-90. -80.],--,1,0,0,0,0,0
2.5,90.0,0.0,0,--,3,True,True,False,--,0.516,-84.708,2.476,90.031,2.476,90.031,0.235,0.29,-0.002,0.27,0.319,-0.002,0.583,0.791,--,-112.085,112.085,-17.256,-0.92,1.804,0.0,0.0,0.0,0.0,--,0.613,[0.999 1.    0.862 0.309 0.833 0.159 0.75 ],[0.556 0.078 0.014 0.03 ],[-90. -80.],--,0,1,0,0,0,0
3.0,15.0,0.0,0,--,3,False,True,False,--,0.716,-86.292,2.995,14.894,2.995,14.894,0.218,0.395,9.517,0.83,0.489,7.695,0.168,0.376,--,-135.912,135.912,-18.295,1.818,-0.156,0.0,0.0,0.0,0.0,--,0.939,[0.989 1.    1.    0.987 0.654 0.893 1.   ],[ 0.696 -0.344  0.004  0.003],[-90. -80.],--,1,0,0,0,0,0
3.0,20.0,0.0,0,--,3,False,True,False,--,0.696,-85.784,2.991,19.812,2.991,19.812,0.172,0.306,9.057,0.684,0.378,7.353,0.175,0.383,--,-105.45,105.45,-17.071,1.918,0.445,0.0,0.0,0.0,0.0,--,0.772,[0.999 1.    0.228 0.739 0.874 0.497 1.   ],[ 0.692 -0.166  0.006  0.006],[-90. -80.],--,1,0,0,0,0,0
3.0,25.0,0.0,0,--,3,False,True,False,--,0.65,-86.741,2.988,24.843,2.988,24.843,0.188,0.296,7.294,0.709,0.353,6.111,0.236,0.444,--,-106.209,106.209,-17.219,1.804,0.698,0.0,0.0,0.0,0.0,--,0.76,[1.    1.    0.177 0.681 0.87  0.498 1.   ],[ 0.393 -0.442  0.025  0.038],[-90. -80.],--,1,0,0,0,0,0
3.0,30.0,0.0,0,--,3,False,True,False,--,0.56,-86.872,2.965,29.732,2.965,29.732,0.185,0.277,6.31,0.605,0.326,5.363,0.272,0.48,--,-96.994,96.994,-16.52,1.749,1.013,0.0,0.0,0.0,0.0,--,0.739,[1.    1.    0.104 0.526 0.919 0.484 1.   ],[ 0.26  -0.62   0.056  0.143],[-90. -80.],--,1,0,0,0,0,0
3.0,35.0,0.0,0,--,3,True,False,True,--,0.534,-86.744,2.984,34.795,2.984,34.795,0.263,0.343,4.201,0.493,0.385,3.74,0.447,0.655,--,168.876,-168.876,-19.015,1.259,0.083,0.0,0.0,0.0,0.0,--,0.485,[0.987 0.968 0.297 0.302 0.371 0.071 0.75 ],[ 0.365 -0.603  0.039  0.099],[-90. -80.],--,0,1,0,0,0,0
3.0,40.0,0.0,0,--,3,False,True,False,--,0.538,-86.657,2.98,39.784,2.98,39.784,0.251,0.322,3.727,0.421,0.36,3.336,0.478,0.686,--,-137.139,137.139,-18.397,1.194,0.967,0.0,0.0,0.0,0.0,--,0.857,[0.991 0.998 0.399 0.781 0.644 0.91  1.   ],[ 0.53  -0.321  0.015  0.022],[-90. -80.],--,1,0,0,0,0,0
3.0,45.0,0.0,0,--,0,False,False,False,--,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-90. -80.],--,0,0,0,0,1,0
3.0,50.0,0.0,0,--,3,False,True,False,--,0.54,-85.453,2.981,49.787,2.981,49.787,0.254,0.314,2.691,0.356,0.346,2.445,0.579,0.787,--,-135.243,135.243,-18.151,0.855,1.333,0.0,0.0,0.0,0.0,--,0.84,[0.992 0.99  0.435 0.621 0.66  0.884 1.   ],[ 0.503 -0.132  0.017  0.032],[-90. -80.],--,1,0,0,0,0,0
3.0,55.0,0.0,0,--,0,False,False,False,--,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-90. -80.],--,0,0,0,0,1,0
3.0,60.0,0.0,0,--,3,False,True,False,--,0.529,-84.852,2.959,59.699,2.959,59.699,0.25,0.304,1.924,0.314,0.332,1.761,0.64,0.848,--,-124.329,124.329,-17.764,0.478,1.733,0.0,0.0,0.0,0.0,--,0.805,[0.996 1.    0.476 0.461 0.747 0.734 1.   ],[0.505 0.065 0.017 0.038],[-90. -80.],--,1,0,0,0,0,0
